usuario;ano;mes;consumo;temperatura
10;2018;11;199;25,87
10;2018;12;181;24,28
10;2019;1;215;23,35
10;2019;2;243;23,07
10;2019;3;174;18,86
10;2019;4;196;17,42
10;2019;5;156;13,18
10;2019;6;155;10,53
10;2019;7;163;9,22
10;2019;8;175;11,48
10;2019;9;178;14,33
10;2019;10;157;17,13
10;2019;11;230;22,25
10;2019;12;204;23,87
10;2020;1;226;23,92
10;2020;2;257;22,54
10;2020;3;208;22,79
10;2020;4;219;17,49
10;2020;5;223;13,56
10;2020;6;243;9,49
10;2020;7;145;7,93
10;2020;8;185;12,7
10;2020;9;152;15,22
10;2020;10;224;17,84
10;2020;11;186;21,93
10;2020;12;201;24,02
10;2021;1;255;22,94
10;2021;2;211;21,16
10;2021;3;218;19,91
10;2021;4;215;18,77
10;2021;5;169;12,72
10;2021;6;192;9,61
10;2021;7;187;10,18
10;2021;8;179;13,02
10;2021;9;185;14,87
10;2021;10;114;18,49
10;2021;11;112;20,4
10;2021;12;149;23,69
10;2022;1;177;25,39
10;2022;2;169;22,01
10;2022;3;153;19,64
10;2022;4;119;16,97
10;2022;5;109;12,02
10;2022;6;108;9,22
10;2022;7;107;10,49
10;2022;8;105;12,67
10;2022;9;124;14,65
10;2022;10;101;17,95
10;2022;11;116;23,82
10;2022;12;209;25,92
10;2023;1;266;25,51
10;2023;2;270;23,04
10;2023;3;272;23,33
10;2023;4;171;18,05
10;2023;5;117;15,29
10;2023;6;107;10,92
10;2023;7;118;10,86
10;2023;8;94;12,63
10;2023;9;105;14,25
10;2023;10;106;18,02
10;2023;11;114;20,96
10;2023;12;214;21,98
10;2024;1;255;23,67
10;2024;2;325;23,7
10;2024;3;190;22,5
10;2024;4;129;16,4
10;2024;5;125;9,37
10;2024;6;101;11,21
10;2024;7;114;8,02
10;2024;8;95;10,14
10;2024;9;109;17,53
10;2024;10;125;19,52
10;2024;11;149;21,6
10;2024;12;163;22,19
100;2018;11;64;25,87
100;2018;12;60;24,28
100;2019;1;69;23,35
100;2019;2;58;23,07
100;2019;3;84;18,86
100;2019;4;54;17,42
100;2019;5;52;13,18
100;2019;6;50;10,53
100;2019;7;52;9,22
100;2019;8;51;11,48
100;2019;9;53;14,33
100;2019;10;50;17,13
100;2019;11;73;22,25
100;2019;12;64;23,87
100;2020;1;77;23,92
100;2020;2;94;22,54
100;2020;3;66;22,79
100;2020;4;66;17,49
100;2020;5;63;13,56
100;2020;6;70;9,49
100;2020;7;42;7,93
100;2020;8;65;12,7
100;2020;9;60;15,22
100;2020;10;71;17,84
100;2020;11;67;21,93
100;2020;12;67;24,02
100;2021;1;87;22,94
100;2021;2;82;21,16
100;2021;3;82;19,91
100;2021;4;69;18,77
100;2021;5;54;12,72
100;2021;6;63;9,61
100;2021;7;56;10,18
100;2021;8;57;13,02
100;2021;9;60;14,87
100;2021;10;60;18,49
100;2021;11;71;20,4
100;2021;12;92;23,69
100;2022;1;90;25,39
100;2022;2;92;22,01
100;2022;3;78;19,64
100;2022;4;59;16,97
100;2022;5;56;12,02
100;2022;6;74;9,22
100;2022;7;60;10,49
100;2022;8;67;12,67
100;2022;9;53;14,65
100;2022;10;60;17,95
100;2022;11;61;23,82
100;2022;12;114;25,92
100;2023;1;90;25,51
100;2023;2;92;23,04
100;2023;3;78;23,33
100;2023;4;71;18,05
100;2023;5;50;15,29
100;2023;6;46;10,92
100;2023;7;59;10,86
100;2023;8;48;12,63
100;2023;9;60;14,25
100;2023;10;46;18,02
100;2023;11;61;20,96
100;2023;12;74;21,98
100;2024;1;78;23,67
100;2024;2;90;23,7
100;2024;3;67;22,5
100;2024;4;64;16,4
100;2024;5;60;9,37
100;2024;6;52;11,21
100;2024;7;56;8,02
100;2024;8;44;10,14
100;2024;9;54;17,53
100;2024;10;64;19,52
100;2024;11;70;21,6
100;2024;12;66;22,19
