usuario;ano;mes;consumo;temperatura
10;2018;11;199;25,87
10;2018;12;181;24,28
10;2019;1;215;23,35
10;2019;2;243;23,07
10;2019;3;174;18,86
10;2019;4;196;17,42
10;2019;5;156;13,18
10;2019;6;155;10,53
10;2019;7;163;9,22
10;2019;8;175;11,48
10;2019;9;178;14,33
10;2019;10;157;17,13
10;2019;11;230;22,25
10;2019;12;204;23,87
10;2020;1;226;23,92
10;2020;2;257;22,54
10;2020;3;208;22,79
10;2020;4;219;17,49
10;2020;5;223;13,56
10;2020;6;243;9,49
10;2020;7;145;7,93
10;2020;8;185;12,7
10;2020;9;152;15,22
10;2020;10;224;17,84
10;2020;11;186;21,93
10;2020;12;201;24,02
10;2021;1;255;22,94
10;2021;2;211;21,16
10;2021;3;218;19,91
10;2021;4;215;18,77
10;2021;5;169;12,72
10;2021;6;192;9,61
10;2021;7;187;10,18
10;2021;8;179;13,02
10;2021;9;185;14,87
10;2021;10;114;18,49
10;2021;11;112;20,4
10;2021;12;149;23,69
10;2022;1;177;25,39
10;2022;2;169;22,01
10;2022;3;153;19,64
10;2022;4;119;16,97
10;2022;5;109;12,02
10;2022;6;108;9,22
10;2022;7;107;10,49
10;2022;8;105;12,67
10;2022;9;124;14,65
10;2022;10;101;17,95
10;2022;11;116;23,82
10;2022;12;209;25,92
10;2023;1;266;25,51
10;2023;2;270;23,04
10;2023;3;272;23,33
10;2023;4;171;18,05
10;2023;5;117;15,29
10;2023;6;107;10,92
10;2023;7;118;10,86
10;2023;8;94;12,63
10;2023;9;105;14,25
10;2023;10;106;18,02
10;2023;11;114;20,96
10;2023;12;214;21,98
10;2024;1;255;23,67
10;2024;2;325;23,7
10;2024;3;190;22,5
10;2024;4;129;16,4
10;2024;5;125;9,37
10;2024;6;101;11,21
10;2024;7;114;8,02
10;2024;8;95;10,14
10;2024;9;109;17,53
10;2024;10;125;19,52
10;2024;11;149;21,6
10;2024;12;163;22,19
